Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
9.10,3.54,1.39,0.482,F5
9.27,21.90,3.10,0.999,K3V
6.61,2.81,0.63,0.19,B9
8.6,7.75,0.97,0.370,F0V
8.55,2.87,1.11,0.902,G8III
12.31,18.80,4.99,1.336,M0V
9.64,17.74,1.30,0.740,G0
9.5,5.17,1.95,1.102,
8.59,4.81,0.99,1.67,G5
8.59,10.76,1.10,0.489,F6V
7.34,4.29,0.84,0.81,A2
8.43,4.6,1.16,1.484,K4III
8.80,3.49,1.48,1.128,K0III
7.25,5.11,0.99,1.200,K0
8.60,2.45,1.16,1.166,K2
8.15,6.15,1.0,0.425,F3V
11.71,0.53,2.63,0.421,
11.3,19.93,2.36,1.567,K5
6.53,4.12,0.64,0.955,G5
8.51,10.76,1.6,0.516,G0
7.55,5.84,0.95,1.438,K2
8.69,4.47,1.15,0.962,
7.57,12.21,0.95,0.456,F2V
9.5,9.73,1.21,0.528,G0V
6.28,13.74,0.98,0.763,G3IV
9.13,9.19,1.34,0.535,F7V
9.32,9.66,1.38,0.671,G5V
8.83,5.64,1.5,0.468,
9.14,2.85,1.40,1.41,G8III
8.26,3.79,0.88,0.142,A0
7.63,1.84,1.5,1.453,K2
9.9,3.10,1.29,0.40,B8
8.10,8.94,1.9,0.466,F2
6.43,12.71,0.74,0.514,
9.7,5.96,1.45,0.916,
7.68,6.30,0.96,1.150,K0
10.44,3.74,2.72,0.391,F0V
8.65,23.84,0.78,0.778,G6V
7.46,10.98,1.18,0.475,F3V
8.70,3.42,1.4,0.26,A0
10.61,-3.40,4.25,0.570,
8.20,6.38,0.91,0.387,F2
6.18,7.63,0.60,1.32,
7.91,2.41,1.1,1.104,K2
9.59,15.10,1.92,,
8.57,1.19,1.20,1.35,K1III
10.78,24.45,1.97,1.150,K3V
7.31,1.86,0.87,1.164,
9.53,1.59,1.28,0.450,F5
6.49,16.89,0.80,0.616,G1IV
8.94,0.41,1.30,0.906,K0
8.56,3.95,0.77,0.196,A4V
10.96,-1.76,2.45,,
10.57,20.97,1.71,1.30,
7.40,14.66,0.98,0.551,
8.12,3.47,1.27,1.329,K0
8.27,33.89,0.79,0.863,K2V
7.5,26.6,0.67,0.520,G0
9.9,0.6,1.38,0.91,B5
8.34,6.18,0.83,0.386,F2IV
8.86,5.60,1.11,1.81,K5
